objectid,filename,title,creator,date,description,subject,location,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement
coll147,lifta_23.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.799292 N,35.197881 E,,lifta_23.jpg,Image;StillImage,image/jpg,,,
coll148,lifta_230.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796728 N,35.196247 E,,lifta_230.jpg,Image;StillImage,image/jpg,,,
coll149,lifta_231.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796969 N,35.196306 E,,lifta_231.jpg,Image;StillImage,image/jpg,,,
coll150,lifta_232.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.798289 N,35.196636 E,,lifta_232.jpg,Image;StillImage,image/jpg,,,
coll151,lifta_233.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.798694 N,35.196736 E,,lifta_233.jpg,Image;StillImage,image/jpg,,,
coll152,lifta_234.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795781 N,35.195939 E,,lifta_234.jpg,Image;StillImage,image/jpg,,,
coll153,lifta_235.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795839 N,35.196044 E,,lifta_235.jpg,Image;StillImage,image/jpg,,,
coll154,lifta_236.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795619 N,35.196169 E,,lifta_236.jpg,Image;StillImage,image/jpg,,,
coll155,lifta_237.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795550 N,35.195939 E,,lifta_237.jpg,Image;StillImage,image/jpg,,,
coll156,lifta_238.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795625 N,35.195975 E,,lifta_238.jpg,Image;StillImage,image/jpg,,,
coll157,lifta_239.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795703 N,35.196025 E,,lifta_239.jpg,Image;StillImage,image/jpg,,,
coll158,lifta_24.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.799197 N,35.197758 E,,lifta_24.jpg,Image;StillImage,image/jpg,,,
coll159,lifta_240.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795703 N,35.196025 E,,lifta_240.jpg,Image;StillImage,image/jpg,,,
coll160,lifta_241.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795758 N,35.196086 E,,lifta_241.jpg,Image;StillImage,image/jpg,,,
coll161,lifta_242.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795758 N,35.196086 E,,lifta_242.jpg,Image;StillImage,image/jpg,,,
coll162,lifta_243.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795844 N,35.196122 E,,lifta_243.jpg,Image;StillImage,image/jpg,,,
coll163,lifta_244.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795844 N,35.196122 E,,lifta_244.jpg,Image;StillImage,image/jpg,,,
coll164,lifta_245.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796194 N,35.196208 E,,lifta_245.jpg,Image;StillImage,image/jpg,,,
coll165,lifta_246.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795794 N,35.196306 E,,lifta_246.jpg,Image;StillImage,image/jpg,,,
coll166,lifta_247.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795536 N,35.196031 E,,lifta_247.jpg,Image;StillImage,image/jpg,,,
coll167,lifta_248.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795397 N,35.196231 E,,lifta_248.jpg,Image;StillImage,image/jpg,,,
coll168,lifta_249.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795394 N,35.196189 E,,lifta_249.jpg,Image;StillImage,image/jpg,,,
coll169,lifta_25.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.799606 N,35.197842 E,,lifta_25.jpg,Image;StillImage,image/jpg,,,
coll170,lifta_250.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795525 N,35.196281 E,,lifta_250.jpg,Image;StillImage,image/jpg,,,
